,price,property_type,subproperty_type,province,locality,zip_code,construction_year,total_area_sqm,surface_land_sqm,nbr_frontages,nbr_bedrooms,equipped_kitchen,fl_furnished,fl_open_fire,fl_terrace,terrace_sqm,fl_garden,garden_sqm,fl_swimming_pool,state_building,primary_energy_consumption_sqm,fl_double_glazing
71,275000,1.0,APARTMENT,West Flanders,Brugge,8000,1990.0,85.0,,,2.0,MISSING,0,0,0,0.0,0,0.0,0,4.0,340.0,0
72,215000,0.0,HOUSE,West Flanders,Brugge,8000,,90.0,60.0,2.0,3.0,USA_HYPER_EQUIPPED,0,0,0,0.0,0,0.0,0,,582.0,1
73,286855,1.0,APARTMENT,West Flanders,Brugge,8000,2021.0,88.0,,,2.0,MISSING,0,0,0,0.0,0,0.0,0,,0.0,1
74,399000,0.0,HOUSE,West Flanders,Brugge,8000,,126.0,306.0,3.0,3.0,INSTALLED,0,0,1,20.0,1,200.0,0,5.0,134.0,1
75,369839,0.0,HOUSE,West Flanders,Brugge,8000,2024.0,,184.0,,3.0,MISSING,0,0,0,0.0,0,0.0,0,,,0
76,399000,0.0,HOUSE,West Flanders,Brugge,8000,,126.0,88.0,1.0,3.0,MISSING,0,0,1,25.0,0,0.0,0,5.0,,0
77,739000,0.0,APARTMENT_BLOCK,West Flanders,Brugge,8000,1918.0,281.0,148.0,2.0,9.0,INSTALLED,1,0,1,,0,0.0,0,4.0,192.0,0
78,299000,1.0,APARTMENT,West Flanders,Brugge,8000,2024.0,72.0,,3.0,1.0,INSTALLED,0,0,1,8.0,0,0.0,0,5.0,,1
79,471500,1.0,APARTMENT,West Flanders,Brugge,8000,,105.0,,,2.0,MISSING,0,0,0,0.0,0,0.0,0,,,1
80,289000,1.0,APARTMENT,West Flanders,Brugge,8000,1997.0,93.0,,,3.0,MISSING,0,0,1,,0,0.0,0,4.0,221.0,1
81,280000,1.0,APARTMENT,West Flanders,Brugge,8000,1960.0,89.0,,,2.0,MISSING,0,0,0,0.0,0,0.0,0,4.0,424.0,0
82,259000,0.0,HOUSE,West Flanders,Brugge,8000,2019.0,,0.0,2.0,2.0,MISSING,0,0,1,,0,0.0,0,4.0,248.0,1
83,240000,0.0,HOUSE,West Flanders,Brugge,8000,,71.0,48.0,4.0,2.0,MISSING,0,0,0,0.0,0,0.0,0,,722.0,0
84,575000,0.0,HOUSE,West Flanders,Brugge,8000,,,303.0,,6.0,MISSING,0,0,0,0.0,0,0.0,0,,218.0,0
85,1200000,1.0,APARTMENT,West Flanders,Brugge,8000,2023.0,192.0,,3.0,2.0,HYPER_EQUIPPED,0,0,1,14.0,0,0.0,0,5.0,41.0,0
86,399000,1.0,APARTMENT,West Flanders,Brugge,8000,,78.0,,,2.0,MISSING,0,0,0,0.0,0,0.0,0,4.0,0.0,0
87,2870000,0.0,EXCEPTIONAL_PROPERTY,West Flanders,Brugge,8000,1911.0,538.0,395.0,3.0,5.0,MISSING,0,0,1,,0,0.0,0,5.0,175.0,0
88,469000,0.0,HOUSE,West Flanders,Brugge,8000,,217.0,128.0,3.0,5.0,INSTALLED,0,0,1,,0,0.0,0,,388.0,1
89,300000,1.0,GROUND_FLOOR,West Flanders,Brugge,8000,2024.0,89.0,,3.0,2.0,INSTALLED,0,0,1,11.0,0,0.0,0,5.0,,1
90,365000,1.0,APARTMENT,West Flanders,Brugge,8000,2023.0,84.0,,,2.0,MISSING,0,0,1,8.0,0,0.0,0,4.0,,1
91,735000,0.0,HOUSE,West Flanders,Brugge,8000,,336.0,167.0,2.0,6.0,MISSING,0,0,0,0.0,0,0.0,0,,455.0,0
92,289000,0.0,HOUSE,West Flanders,Brugge,8000,,128.0,52.0,3.0,3.0,MISSING,0,0,0,0.0,0,0.0,0,,686.0,0
