,link,id,locality,country,construction_year,Number_of_frontages,province,zip_code,price,property_type,subproperty_type,bedroom_count,total_area_m2,equipped_kitchen,furnished,open_fire,terrace_sqm,terrace,garden_sqm,garden,floodZoneType,surface_land,swimming_pool,state_building,epc,primaryEnergyConsumptionPerSqm,heating_Type,Double_Glazing,cadastral_income,latitude,longitude,public_sales,notary_sales
747,https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/11196804,11196804,Gent,Belgium,2026.0,,East Flanders,9000,819000,APARTMENT,APARTMENT,3.0,,INSTALLED,0,0,114.0,1,0,0,0,,0,GOOD,A,43.0,,1,0,51.0645911,3.7132568,,
748,https://www.immoweb.be/en/classified/ground-floor/for-sale/bruxelles/1000/11287264,11287264,Brussels,Belgium,,4.0,Brussels,1000,386000,APARTMENT,GROUND_FLOOR,3.0,110.0,HYPER_EQUIPPED,0,0,7.0,1,0,0,1,,0,,,,,0,0,50.8665959,4.3449,,
749,https://www.immoweb.be/en/classified/apartment/for-sale/bastogne/6600/11225328,11225328,Bastogne,Belgium,2024.0,4.0,Luxembourg,6600,309900,APARTMENT,APARTMENT,2.0,95.0,,0,0,16.0,1,0,0,1,,0,,,,GAS,1,0,,,,
750,https://www.immoweb.be/en/classified/ground-floor/for-sale/halle/1500/11238758,11238758,Halle-Vilvoorde,Belgium,,2.0,Flemish Brabant,1500,291000,APARTMENT,GROUND_FLOOR,2.0,99.0,,0,0,17.0,1,0,0,1,,0,AS_NEW,,,,0,0,,,,
751,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/11216944,11216944,Namur,Belgium,,,Namur,5000,575320,APARTMENT,APARTMENT,3.0,125.0,,0,0,45.0,1,0,0,1,,0,AS_NEW,,,,0,0,,,,
752,https://www.immoweb.be/en/classified/house/for-sale/antwerp/2000/9400600,9400600,Antwerp,Belgium,2021.0,2.0,Antwerp,2000,598000,HOUSE,HOUSE,2.0,123.0,HYPER_EQUIPPED,0,0,61.0,1,0,0,0,0.0,0,AS_NEW,,,,1,0,,,,
754,https://www.immoweb.be/en/classified/house/for-sale/gent/9000/11228713,11228713,Gent,Belgium,1946.0,2.0,East Flanders,9000,309000,HOUSE,HOUSE,4.0,135.0,USA_INSTALLED,0,0,7.0,1,0,0,0,70.0,0,GOOD,D,393.0,GAS,1,480,51.0640433,3.7100673,,
755,https://www.immoweb.be/en/classified/apartment/for-sale/bastogne/6600/11225317,11225317,Bastogne,Belgium,2024.0,4.0,Luxembourg,6600,319900,APARTMENT,APARTMENT,2.0,101.0,,0,0,9.0,1,0,0,1,,0,,,,GAS,1,0,,,,
756,https://www.immoweb.be/en/classified/ground-floor/for-sale/halle/1500/11238760,11238760,Halle-Vilvoorde,Belgium,,2.0,Flemish Brabant,1500,294000,APARTMENT,GROUND_FLOOR,2.0,100.0,,0,0,17.0,1,0,0,1,,0,AS_NEW,,,,0,0,,,,
757,https://www.immoweb.be/en/classified/house/for-sale/antwerp/2000/9400602,9400602,Antwerp,Belgium,2021.0,2.0,Antwerp,2000,640000,HOUSE,HOUSE,2.0,119.0,HYPER_EQUIPPED,0,0,75.0,1,0,0,0,0.0,0,AS_NEW,,,,1,0,,,,
758,https://www.immoweb.be/en/classified/apartment/for-sale/li%C3%A8ge/4000/11188677,11188677,Liège,Belgium,,,Liège,4000,260000,APARTMENT,APARTMENT,2.0,85.0,,0,0,15.0,1,61,1,1,,0,AS_NEW,,,,0,0,,,,
759,https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/11208634,11208634,Gent,Belgium,1970.0,2.0,East Flanders,9000,315000,APARTMENT,APARTMENT,2.0,88.0,INSTALLED,0,0,6.0,1,0,0,0,,0,GOOD,C,233.0,GAS,1,919,51.044598,3.7362845,,
760,https://www.immoweb.be/en/classified/apartment/for-sale/bastogne/6600/11225327,11225327,Bastogne,Belgium,2024.0,4.0,Luxembourg,6600,329900,APARTMENT,APARTMENT,2.0,101.0,,0,0,16.0,1,0,0,1,,0,,,,GAS,1,0,,,,
762,https://www.immoweb.be/en/classified/ground-floor/for-sale/halle/1500/11238762,11238762,Halle-Vilvoorde,Belgium,,2.0,Flemish Brabant,1500,295000,APARTMENT,GROUND_FLOOR,2.0,98.0,,0,0,21.0,1,0,0,1,,0,AS_NEW,,,,0,0,,,,
763,https://www.immoweb.be/en/classified/apartment/for-sale/li%C3%A8ge/4000/11188678,11188678,Liège,Belgium,,,Liège,4000,260000,APARTMENT,APARTMENT,2.0,85.0,,0,0,15.0,1,58,1,1,,0,AS_NEW,,,,0,0,,,,
764,https://www.immoweb.be/en/classified/apartment/for-sale/bastogne/6600/11225333,11225333,Bastogne,Belgium,2024.0,4.0,Luxembourg,6600,499900,APARTMENT,APARTMENT,3.0,148.0,,0,0,43.0,1,0,0,1,,0,,,,GAS,1,0,,,,
765,https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/11144814,11144814,Gent,Belgium,1920.0,2.0,East Flanders,9000,325000,APARTMENT,APARTMENT,1.0,76.0,INSTALLED,0,0,0.0,0,0,0,0,,0,GOOD,D,314.0,GAS,1,734,51.0503957,3.7335394,,
766,https://www.immoweb.be/en/classified/apartment/for-sale/halle/1500/11238767,11238767,Halle-Vilvoorde,Belgium,,2.0,Flemish Brabant,1500,295000,APARTMENT,APARTMENT,2.0,99.0,,0,0,10.0,1,0,0,1,,0,AS_NEW,,,,0,0,,,,
767,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/11287122,11287122,Brussels,Belgium,,3.0,Brussels,1000,350000,APARTMENT,APARTMENT,2.0,97.0,USA_INSTALLED,0,0,5.0,1,0,0,1,,0,,,,,0,0,50.8665959,4.3449,,
768,https://www.immoweb.be/en/classified/apartment/for-sale/li%C3%A8ge/4000/11188680,11188680,Liège,Belgium,,2.0,Liège,4000,278000,APARTMENT,APARTMENT,2.0,89.0,,0,0,14.0,1,0,0,1,,0,AS_NEW,,,,0,0,,,,
770,https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/10924015,10924015,Gent,Belgium,2014.0,2.0,East Flanders,9000,327000,APARTMENT,APARTMENT,2.0,102.0,INSTALLED,1,0,7.0,1,0,0,0,,0,GOOD,A,89.0,GAS,1,887,51.0700083,3.6945428,,
771,https://www.immoweb.be/en/classified/apartment/for-sale/bastogne/6600/10996024,10996024,Bastogne,Belgium,,,Luxembourg,6600,195000,APARTMENT,APARTMENT,2.0,,SEMI_EQUIPPED,0,0,0.0,0,0,0,1,,0,GOOD,B,99.0,GAS,1,807,50.0032566,5.7184131,,
772,https://www.immoweb.be/en/classified/apartment/for-sale/li%C3%A8ge/4000/11188681,11188681,Liège,Belgium,,2.0,Liège,4000,283000,APARTMENT,APARTMENT,2.0,89.0,,0,0,14.0,1,0,0,1,,0,AS_NEW,,,,0,0,,,,
773,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/11287152,11287152,Brussels,Belgium,,3.0,Brussels,1000,354000,APARTMENT,APARTMENT,2.0,97.0,USA_INSTALLED,0,0,5.0,1,0,0,1,,0,,,,,0,0,50.8665959,4.3449,,
774,https://www.immoweb.be/en/classified/apartment/for-sale/halle/1500/11238785,11238785,Halle-Vilvoorde,Belgium,,2.0,Flemish Brabant,1500,295000,APARTMENT,APARTMENT,2.0,99.0,,0,0,15.0,1,0,0,1,,0,AS_NEW,,,,0,0,,,,
775,https://www.immoweb.be/en/classified/apartment/for-sale/antwerp/2000/10171876,10171876,Antwerp,Belgium,,,Antwerp,2000,640000,APARTMENT,APARTMENT,3.0,154.0,USA_HYPER_EQUIPPED,0,0,15.0,1,0,0,0,,0,AS_NEW,,,,1,0,,,,
776,https://www.immoweb.be/en/classified/flat-studio/for-sale/namur/5000/11108872,11108872,Namur,Belgium,,,Namur,5000,202408,APARTMENT,FLAT_STUDIO,0.0,48.0,,0,0,7.0,1,0,0,1,,0,AS_NEW,B,88.0,,0,0,50.4663683,4.8714176,,
777,https://www.immoweb.be/en/classified/apartment/for-sale/li%C3%A8ge/4000/11188684,11188684,Liège,Belgium,,2.0,Liège,4000,290500,APARTMENT,APARTMENT,2.0,89.0,,0,0,14.0,1,0,0,1,,0,AS_NEW,,,,0,0,,,,
778,https://www.immoweb.be/en/classified/ground-floor/for-sale/bruxelles/1000/11287160,11287160,Brussels,Belgium,,3.0,Brussels,1000,356000,APARTMENT,GROUND_FLOOR,2.0,104.0,USA_INSTALLED,0,0,9.0,1,0,0,1,,0,,,,,0,0,50.8665959,4.3449,,
779,https://www.immoweb.be/en/classified/apartment/for-sale/halle/1500/11238773,11238773,Halle-Vilvoorde,Belgium,,2.0,Flemish Brabant,1500,299000,APARTMENT,APARTMENT,2.0,99.0,,0,0,15.0,1,0,0,1,,0,AS_NEW,,,,0,0,,,,
780,https://www.immoweb.be/en/classified/apartment/for-sale/antwerp/2000/10171874,10171874,Antwerp,Belgium,,,Antwerp,2000,660000,APARTMENT,APARTMENT,2.0,160.0,USA_HYPER_EQUIPPED,0,0,41.0,1,0,0,0,,0,AS_NEW,,,,1,0,,,,
781,https://www.immoweb.be/en/classified/flat-studio/for-sale/namur/5000/11108871,11108871,Namur,Belgium,,,Namur,5000,202408,APARTMENT,FLAT_STUDIO,0.0,48.0,,0,0,7.0,1,0,0,1,,0,AS_NEW,B,88.0,,0,0,50.4663683,4.8714176,,
782,https://www.immoweb.be/en/classified/apartment/for-sale/bastogne/6600/11011515,11011515,Bastogne,Belgium,2019.0,2.0,Luxembourg,6600,250000,APARTMENT,APARTMENT,2.0,85.0,INSTALLED,0,0,0.0,0,0,0,0,,0,,B,94.0,GAS,1,1019,50.001103,5.7096182,,
783,https://www.immoweb.be/en/classified/apartment/for-sale/li%C3%A8ge/4000/11188685,11188685,Liège,Belgium,,2.0,Liège,4000,312000,APARTMENT,APARTMENT,2.0,96.0,,0,0,18.0,1,0,0,1,,0,AS_NEW,,,,0,0,,,,
784,https://www.immoweb.be/en/classified/apartment/for-sale/halle/1500/11238789,11238789,Halle-Vilvoorde,Belgium,,2.0,Flemish Brabant,1500,301000,APARTMENT,APARTMENT,2.0,102.0,,0,0,14.0,1,0,0,1,,0,AS_NEW,,,,0,0,,,,
785,https://www.immoweb.be/en/classified/flat-studio/for-sale/namur/5000/11108867,11108867,Namur,Belgium,,,Namur,5000,202545,APARTMENT,FLAT_STUDIO,0.0,49.0,,0,0,7.0,1,0,0,1,,0,AS_NEW,B,94.0,,0,0,50.4663683,4.8714176,,
786,https://www.immoweb.be/en/classified/ground-floor/for-sale/bruxelles/1000/11287147,11287147,Brussels,Belgium,,3.0,Brussels,1000,356000,APARTMENT,GROUND_FLOOR,2.0,104.0,USA_INSTALLED,0,0,9.0,1,0,0,1,,0,,,,,0,0,50.8665959,4.3449,,
787,https://www.immoweb.be/en/classified/apartment/for-sale/antwerp/2000/10171879,10171879,Antwerp,Belgium,,,Antwerp,2000,665000,APARTMENT,APARTMENT,3.0,163.0,USA_HYPER_EQUIPPED,0,0,11.0,1,0,0,0,,0,AS_NEW,,,,1,0,,,,
788,https://www.immoweb.be/en/classified/apartment/for-sale/li%C3%A8ge/4000/11188686,11188686,Liège,Belgium,,2.0,Liège,4000,317000,APARTMENT,APARTMENT,2.0,97.0,,0,0,16.0,1,0,0,1,,0,AS_NEW,,,,0,0,,,,
789,https://www.immoweb.be/en/classified/apartment/for-sale/halle/1500/11238796,11238796,Halle-Vilvoorde,Belgium,,2.0,Flemish Brabant,1500,304000,APARTMENT,APARTMENT,2.0,102.0,,0,0,14.0,1,0,0,1,,0,AS_NEW,,,,0,0,,,,
790,https://www.immoweb.be/en/classified/flat-studio/for-sale/namur/5000/11108857,11108857,Namur,Belgium,,,Namur,5000,205226,APARTMENT,FLAT_STUDIO,0.0,52.0,,0,0,6.0,1,0,0,1,,0,AS_NEW,B,94.0,,0,0,50.4663683,4.8714176,,
791,https://www.immoweb.be/en/classified/apartment/for-sale/antwerp/2000/10171885,10171885,Antwerp,Belgium,,,Antwerp,2000,675000,APARTMENT,APARTMENT,3.0,163.0,USA_HYPER_EQUIPPED,0,0,11.0,1,0,0,0,,0,AS_NEW,,,,1,0,,,,
792,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/11287124,11287124,Brussels,Belgium,,3.0,Brussels,1000,359000,APARTMENT,APARTMENT,2.0,102.0,USA_INSTALLED,0,0,9.0,1,0,0,1,,0,,,,,0,0,50.8665959,4.3449,,
793,https://www.immoweb.be/en/classified/apartment/for-sale/li%C3%A8ge/4000/11188689,11188689,Liège,Belgium,,2.0,Liège,4000,320000,APARTMENT,APARTMENT,2.0,90.0,,0,0,14.0,1,0,0,1,,0,AS_NEW,,,,0,0,,,,
794,https://www.immoweb.be/en/classified/apartment/for-sale/halle/1500/11238764,11238764,Halle-Vilvoorde,Belgium,,2.0,Flemish Brabant,1500,305000,APARTMENT,APARTMENT,2.0,99.0,,0,0,15.0,1,0,0,1,,0,AS_NEW,,,,0,0,,,,
795,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/11108828,11108828,Namur,Belgium,,,Namur,5000,231172,APARTMENT,APARTMENT,1.0,61.0,,0,0,8.0,1,0,0,1,,0,AS_NEW,A,48.0,,0,0,50.4663683,4.8714176,,
796,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/11287159,11287159,Brussels,Belgium,,3.0,Brussels,1000,360000,APARTMENT,APARTMENT,2.0,97.0,USA_INSTALLED,0,0,5.0,1,0,0,1,,0,,,,,0,0,50.8665959,4.3449,,
797,https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen-2000/2000/11242812,11242812,Antwerp,Belgium,2004.0,,Antwerp,2000,745000,APARTMENT,APARTMENT,2.0,180.0,HYPER_EQUIPPED,0,0,35.0,1,0,0,0,,0,GOOD,A,84.0,GAS,1,1925,51.2185255,4.4056055,,
798,https://www.immoweb.be/en/classified/apartment/for-sale/halle/1500/11238795,11238795,Halle-Vilvoorde,Belgium,,2.0,Flemish Brabant,1500,310000,APARTMENT,APARTMENT,2.0,104.0,,0,0,16.0,1,0,0,1,,0,AS_NEW,,,,0,0,,,,
799,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/11108800,11108800,Namur,Belgium,,,Namur,5000,233334,APARTMENT,APARTMENT,1.0,61.0,,0,0,8.0,1,0,0,1,,0,AS_NEW,A,55.0,,0,0,50.4663683,4.8714176,,
800,https://www.immoweb.be/en/classified/apartment/for-sale/li%C3%A8ge/4000/11188690,11188690,Liège,Belgium,,2.0,Liège,4000,320500,APARTMENT,APARTMENT,2.0,90.0,,0,0,14.0,1,0,0,1,,0,AS_NEW,,,,0,0,,,,
801,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/11287142,11287142,Brussels,Belgium,,3.0,Brussels,1000,364000,APARTMENT,APARTMENT,2.0,102.0,USA_INSTALLED,0,0,9.0,1,0,0,1,,0,,,,,0,0,50.8665959,4.3449,,
802,https://www.immoweb.be/en/classified/house/for-sale/antwerpen/2000/11279560,11279560,Antwerp,Belgium,1905.0,3.0,Antwerp,2000,699000,HOUSE,HOUSE,3.0,200.0,INSTALLED,0,0,0.0,0,0,0,0,1891.0,0,AS_NEW,B,111.0,GAS,1,1854,51.2225363,4.4038457,,
803,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/11108846,11108846,Namur,Belgium,,,Namur,5000,236195,APARTMENT,APARTMENT,1.0,64.0,,0,0,7.0,1,0,0,1,,0,AS_NEW,A,54.0,,0,0,50.4663683,4.8714176,,
804,https://www.immoweb.be/en/classified/ground-floor/for-sale/halle/1500/11238763,11238763,Halle-Vilvoorde,Belgium,,2.0,Flemish Brabant,1500,325000,APARTMENT,GROUND_FLOOR,2.0,118.0,,0,0,27.0,1,0,0,1,,0,AS_NEW,,,,0,0,,,,
805,https://www.immoweb.be/en/classified/apartment/for-sale/li%C3%A8ge/4000/11188687,11188687,Liège,Belgium,,2.0,Liège,4000,324500,APARTMENT,APARTMENT,2.0,97.0,,0,0,16.0,1,0,0,1,,0,AS_NEW,,,,0,0,,,,
806,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/11287144,11287144,Brussels,Belgium,,3.0,Brussels,1000,364000,APARTMENT,APARTMENT,2.0,102.0,USA_INSTALLED,0,0,9.0,1,0,0,1,,0,,,,,0,0,50.8665959,4.3449,,
807,https://www.immoweb.be/en/classified/house/for-sale/antwerp/2000/11038602,11038602,Antwerp,Belgium,1875.0,2.0,Antwerp,2000,262000,HOUSE,HOUSE,4.0,105.0,INSTALLED,0,0,0.0,0,0,0,0,37.0,0,GOOD,F,530.0,GAS,1,446,51.2216807,4.411239,,
808,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/11108845,11108845,Namur,Belgium,,,Namur,5000,236195,APARTMENT,APARTMENT,1.0,64.0,,0,0,7.0,1,0,0,1,,0,AS_NEW,A,54.0,,0,0,50.4663683,4.8714176,,
809,https://www.immoweb.be/en/classified/ground-floor/for-sale/halle/1500/11238757,11238757,Halle-Vilvoorde,Belgium,,2.0,Flemish Brabant,1500,378000,APARTMENT,GROUND_FLOOR,3.0,132.0,,0,0,43.0,1,0,0,1,,0,AS_NEW,,,,0,0,,,,
810,https://www.immoweb.be/en/classified/apartment/for-sale/li%C3%A8ge/4000/11188691,11188691,Liège,Belgium,,2.0,Liège,4000,330000,APARTMENT,APARTMENT,2.0,90.0,,0,0,14.0,1,0,0,1,,0,AS_NEW,,,,0,0,,,,
811,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/11287145,11287145,Brussels,Belgium,,3.0,Brussels,1000,364000,APARTMENT,APARTMENT,2.0,102.0,USA_INSTALLED,0,0,9.0,1,0,0,1,,0,,,,,0,0,50.8665959,4.3449,,
812,https://www.immoweb.be/en/classified/mansion/for-sale/antwerp/2000/11038628,11038628,Antwerp,Belgium,1904.0,2.0,Antwerp,2000,999000,HOUSE,MANSION,7.0,630.0,INSTALLED,0,0,8.0,1,70,1,0,237.0,0,GOOD,D,345.0,GAS,1,2456,51.2235923,4.4150651,,
813,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/11108844,11108844,Namur,Belgium,,,Namur,5000,236195,APARTMENT,APARTMENT,1.0,64.0,,0,0,7.0,1,0,0,1,,0,AS_NEW,A,54.0,,0,0,50.4663683,4.8714176,,
814,https://www.immoweb.be/en/classified/apartment/for-sale/halle/1500/11238797,11238797,Halle-Vilvoorde,Belgium,,2.0,Flemish Brabant,1500,383000,APARTMENT,APARTMENT,3.0,132.0,,0,0,25.0,1,0,0,1,,0,AS_NEW,,,,0,0,,,,
815,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/11287125,11287125,Brussels,Belgium,,3.0,Brussels,1000,365000,APARTMENT,APARTMENT,2.0,97.0,USA_INSTALLED,0,0,5.0,1,0,0,1,,0,,,,,0,0,50.8665959,4.3449,,
816,https://www.immoweb.be/en/classified/apartment/for-sale/li%C3%A8ge/4000/11188692,11188692,Liège,Belgium,,2.0,Liège,4000,334000,APARTMENT,APARTMENT,2.0,97.0,,0,0,16.0,1,0,0,1,,0,AS_NEW,,,,0,0,,,,
817,https://www.immoweb.be/en/classified/apartment/for-sale/halle/1500/11238786,11238786,Halle-Vilvoorde,Belgium,,2.0,Flemish Brabant,1500,388000,APARTMENT,APARTMENT,3.0,132.0,,0,0,31.0,1,0,0,1,,0,AS_NEW,,,,0,0,,,,
818,https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen-2000/2000/11187889,11187889,Antwerp,Belgium,1988.0,2.0,Antwerp,2000,349000,APARTMENT,APARTMENT,2.0,90.0,INSTALLED,0,0,3.0,1,0,0,0,,0,GOOD,C,261.0,GAS,1,0,51.20767,4.3976689,,
819,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/11108843,11108843,Namur,Belgium,,,Namur,5000,236195,APARTMENT,APARTMENT,1.0,64.0,,0,0,7.0,1,0,0,1,,0,AS_NEW,A,54.0,,0,0,50.4663683,4.8714176,,
820,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/11287138,11287138,Brussels,Belgium,,3.0,Brussels,1000,366000,APARTMENT,APARTMENT,2.0,102.0,USA_INSTALLED,0,0,9.0,1,0,0,1,,0,,,,,0,0,50.8665959,4.3449,,
821,https://www.immoweb.be/en/classified/apartment/for-sale/li%C3%A8ge/4000/11188694,11188694,Liège,Belgium,,2.0,Liège,4000,340000,APARTMENT,APARTMENT,2.0,96.0,,0,0,16.0,1,0,0,1,,0,AS_NEW,,,,0,0,,,,
822,https://www.immoweb.be/en/classified/apartment/for-sale/halle/1500/11238784,11238784,Halle-Vilvoorde,Belgium,,2.0,Flemish Brabant,1500,389000,APARTMENT,APARTMENT,3.0,132.0,,0,0,25.0,1,0,0,1,,0,AS_NEW,,,,0,0,,,,
823,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/11108842,11108842,Namur,Belgium,,,Namur,5000,236195,APARTMENT,APARTMENT,1.0,64.0,,0,0,7.0,1,0,0,1,,0,AS_NEW,A,54.0,,0,0,50.4663683,4.8714176,,
824,https://www.immoweb.be/en/classified/apartment/for-sale/antwerp/2000/11013300,11013300,Antwerp,Belgium,2008.0,2.0,Antwerp,2000,580000,APARTMENT,APARTMENT,2.0,145.0,HYPER_EQUIPPED,0,0,10.0,1,0,0,0,,0,AS_NEW,B,135.0,GAS,1,0,51.2227844,4.4008885,,
825,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/11287151,11287151,Brussels,Belgium,,3.0,Brussels,1000,366000,APARTMENT,APARTMENT,2.0,102.0,USA_INSTALLED,0,0,9.0,1,0,0,1,,0,,,,,0,0,50.8665959,4.3449,,
826,https://www.immoweb.be/en/classified/apartment/for-sale/li%C3%A8ge/4000/11188695,11188695,Liège,Belgium,,2.0,Liège,4000,375000,APARTMENT,APARTMENT,3.0,122.0,,0,0,17.0,1,0,0,1,,0,AS_NEW,,,,0,0,,,,
827,https://www.immoweb.be/en/classified/apartment/for-sale/halle/1500/11238775,11238775,Halle-Vilvoorde,Belgium,,2.0,Flemish Brabant,1500,395000,APARTMENT,APARTMENT,3.0,132.0,,0,0,31.0,1,0,0,1,,0,AS_NEW,,,,0,0,,,,
828,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/11108856,11108856,Namur,Belgium,,,Namur,5000,239230,APARTMENT,APARTMENT,1.0,73.0,,0,0,7.0,1,0,0,1,,0,AS_NEW,A,85.0,,0,0,50.4663683,4.8714176,,
829,https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen-2000/2000/11205717,11205717,Antwerp,Belgium,1895.0,,Antwerp,2000,895000,APARTMENT,APARTMENT,2.0,203.0,HYPER_EQUIPPED,0,0,10.0,1,0,0,0,,0,GOOD,B,107.0,GAS,1,0,51.2263173,4.4090583,,
830,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/11287123,11287123,Brussels,Belgium,,3.0,Brussels,1000,370000,APARTMENT,APARTMENT,2.0,102.0,USA_INSTALLED,0,0,9.0,1,0,0,1,,0,,,,,0,0,50.8665959,4.3449,,
831,https://www.immoweb.be/en/classified/apartment/for-sale/li%C3%A8ge/4000/11188697,11188697,Liège,Belgium,,2.0,Liège,4000,385000,APARTMENT,APARTMENT,3.0,120.0,,0,0,15.0,1,0,0,1,,0,AS_NEW,,,,0,0,,,,
832,https://www.immoweb.be/en/classified/house/for-sale/halle/1500/11133779,11133779,Halle-Vilvoorde,Belgium,1964.0,3.0,Flemish Brabant,1500,390000,HOUSE,HOUSE,3.0,160.0,INSTALLED,0,0,20.0,1,500,1,0,590.0,0,JUST_RENOVATED,D,327.0,GAS,0,1053,50.7594923,4.201041,,
833,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/11108847,11108847,Namur,Belgium,,,Namur,5000,240103,APARTMENT,APARTMENT,1.0,66.0,,0,0,7.0,1,0,0,1,,0,AS_NEW,A,85.0,,0,0,50.4663683,4.8714176,,
834,https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen-2000/2000/11294949,11294949,Antwerp,Belgium,2018.0,,Antwerp,2000,445000,APARTMENT,APARTMENT,2.0,106.0,INSTALLED,0,0,28.0,1,0,0,0,,0,GOOD,A,93.0,,1,0,51.2116406,4.4017922,,
835,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/11287161,11287161,Brussels,Belgium,,3.0,Brussels,1000,372000,APARTMENT,APARTMENT,2.0,103.0,USA_INSTALLED,0,0,8.0,1,0,0,1,,0,,,,,0,0,50.8665959,4.3449,,
836,https://www.immoweb.be/en/classified/apartment/for-sale/li%C3%A8ge/4000/11188696,11188696,Liège,Belgium,,2.0,Liège,4000,385000,APARTMENT,APARTMENT,3.0,123.0,,0,0,15.0,1,0,0,1,,0,AS_NEW,,,,0,0,,,,
837,https://www.immoweb.be/en/classified/apartment/for-sale/halle-1500/1500/11053377,11053377,Halle-Vilvoorde,Belgium,1975.0,,Flemish Brabant,1500,265000,APARTMENT,APARTMENT,2.0,89.0,NOT_INSTALLED,0,0,0.0,0,0,0,0,,0,GOOD,C,245.0,GAS,1,1068,50.7362334,4.2461041,,
838,https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2000/11297164,11297164,Antwerp,Belgium,2019.0,4.0,Antwerp,2000,360000,APARTMENT,APARTMENT,1.0,70.0,INSTALLED,0,0,,1,0,0,1,,0,,A,59.0,,1,1047,51.2184821,4.4162104,,
839,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/11108852,11108852,Namur,Belgium,,,Namur,5000,240959,APARTMENT,APARTMENT,1.0,63.0,,0,0,7.0,1,0,0,1,,0,AS_NEW,A,59.0,,0,0,50.4663683,4.8714176,,
840,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/11287120,11287120,Brussels,Belgium,,3.0,Brussels,1000,374000,APARTMENT,APARTMENT,2.0,102.0,USA_INSTALLED,0,0,9.0,1,0,0,1,,0,,,,,0,0,50.8665959,4.3449,,
841,https://www.immoweb.be/en/classified/apartment/for-sale/li%C3%A8ge/4000/11188698,11188698,Liège,Belgium,,2.0,Liège,4000,390000,APARTMENT,APARTMENT,3.0,123.0,,0,0,15.0,1,0,0,1,,0,AS_NEW,,,,0,0,,,,
842,https://www.immoweb.be/en/classified/duplex/for-sale/halle/1500/11128598,11128598,Halle-Vilvoorde,Belgium,1960.0,2.0,Flemish Brabant,1500,299000,APARTMENT,DUPLEX,3.0,121.0,HYPER_EQUIPPED,0,0,,1,0,0,1,,0,GOOD,D,388.0,GAS,1,0,50.7322756,4.2448796,,
843,https://www.immoweb.be/en/classified/apartment/for-sale/antwerp/2000/11226118,11226118,Antwerp,Belgium,1952.0,,Antwerp,2000,495000,APARTMENT,APARTMENT,3.0,170.0,USA_INSTALLED,0,0,16.0,1,0,0,0,,0,TO_BE_DONE_UP,C,271.0,,1,1408,51.2175142,4.4144011,,
844,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/11108853,11108853,Namur,Belgium,,,Namur,5000,240959,APARTMENT,APARTMENT,1.0,63.0,,0,0,7.0,1,0,0,1,,0,AS_NEW,A,59.0,,0,0,50.4663683,4.8714176,,
845,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/11287136,11287136,Brussels,Belgium,,3.0,Brussels,1000,374000,APARTMENT,APARTMENT,2.0,102.0,USA_INSTALLED,0,0,9.0,1,0,0,1,,0,,,,,0,0,50.8665959,4.3449,,
846,https://www.immoweb.be/en/classified/apartment/for-sale/li%C3%A8ge/4000/11188699,11188699,Liège,Belgium,,2.0,Liège,4000,390000,APARTMENT,APARTMENT,3.0,120.0,,0,0,15.0,1,0,0,1,,0,AS_NEW,,,,0,0,,,,
