,link,id,locality,country,construction_year,Number_of_frontages,province,zip_code,price,property_type,subproperty_type,bedroom_count,total_area_m2,equipped_kitchen,furnished,open_fire,terrace_sqm,terrace,garden_sqm,garden,floodZoneType,surface_land,swimming_pool,state_building,epc,primaryEnergyConsumptionPerSqm,heating_Type,Double_Glazing,cadastral_income,latitude,longitude,public_sales,notary_sales
720,https://www.immoweb.be/en/classified/ground-floor/for-sale/bruxelles/1000/11287253,11287253,Brussels,Belgium,,4.0,Brussels,1000,364000,APARTMENT,GROUND_FLOOR,2.0,99.0,HYPER_EQUIPPED,0,0,12.0,1,0,0,1,,0,,,,,0,0,50.8665959,4.3449,,
721,https://www.immoweb.be/en/classified/apartment/for-sale/bastogne/6600/11225314,11225314,Bastogne,Belgium,2024.0,4.0,Luxembourg,6600,294900,APARTMENT,APARTMENT,2.0,98.0,,0,0,8.0,1,0,0,1,,0,,,,GAS,1,0,,,,
722,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/11216967,11216967,Namur,Belgium,,,Namur,5000,404828,APARTMENT,APARTMENT,2.0,101.0,,0,0,31.0,1,0,0,1,,0,AS_NEW,,,,0,0,,,,
723,https://www.immoweb.be/en/classified/loft/for-sale/li%C3%A8ge/4000/11109273,11109273,Liège,Belgium,2022.0,,Liège,4000,370000,APARTMENT,LOFT,3.0,128.0,,0,0,13.0,1,0,0,1,,0,AS_NEW,A,57.0,,0,0,50.641615,5.5899945,,
724,https://www.immoweb.be/en/classified/apartment/for-sale/halle/1500/11238794,11238794,Halle-Vilvoorde,Belgium,,2.0,Flemish Brabant,1500,275000,APARTMENT,APARTMENT,2.0,84.0,,0,0,13.0,1,0,0,1,,0,AS_NEW,,,,0,0,,,,
725,https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen-2000/2000/11252213,11252213,Antwerp,Belgium,2014.0,,Antwerp,2000,495000,APARTMENT,APARTMENT,2.0,107.0,HYPER_EQUIPPED,0,0,9.0,1,0,0,0,,0,GOOD,B,187.0,GAS,1,686,51.2116752,4.397355,,
726,https://www.immoweb.be/en/classified/apartment/for-sale/hasselt/3500/11206365,11206365,Hasselt,Belgium,1962.0,2.0,Limburg,3500,199000,APARTMENT,APARTMENT,2.0,99.0,,0,0,,1,0,0,0,,0,,B,134.0,GAS,1,810,50.9293429,5.344891,,
727,https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/11196800,11196800,Gent,Belgium,2026.0,,East Flanders,9000,474500,APARTMENT,APARTMENT,3.0,,INSTALLED,0,0,21.0,1,0,0,0,,0,GOOD,A,33.0,,1,0,51.0645911,3.7132568,,
728,https://www.immoweb.be/en/classified/apartment/for-sale/bastogne/6600/11225320,11225320,Bastogne,Belgium,2024.0,4.0,Luxembourg,6600,294900,APARTMENT,APARTMENT,2.0,98.0,,0,0,8.0,1,0,0,1,,0,,,,GAS,1,0,,,,
729,https://www.immoweb.be/en/classified/ground-floor/for-sale/bruxelles/1000/11287255,11287255,Brussels,Belgium,,4.0,Brussels,1000,365000,APARTMENT,GROUND_FLOOR,2.0,99.0,HYPER_EQUIPPED,0,0,12.0,1,0,0,1,,0,,,,,0,0,50.8665959,4.3449,,
730,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/11217049,11217049,Namur,Belgium,,,Namur,5000,414354,APARTMENT,APARTMENT,2.0,90.0,,0,0,34.0,1,0,0,1,,0,AS_NEW,,,,0,0,,,,
731,https://www.immoweb.be/en/classified/loft/for-sale/li%C3%A8ge/4000/11109279,11109279,Liège,Belgium,2022.0,,Liège,4000,380000,APARTMENT,LOFT,3.0,128.0,,0,0,13.0,1,0,0,1,,0,AS_NEW,A,63.0,,0,0,50.641615,5.5899945,,
732,https://www.immoweb.be/en/classified/apartment/for-sale/halle/1500/11238770,11238770,Halle-Vilvoorde,Belgium,,2.0,Flemish Brabant,1500,283000,APARTMENT,APARTMENT,2.0,84.0,,0,0,14.0,1,0,0,1,,0,AS_NEW,,,,0,0,,,,
733,https://www.immoweb.be/en/classified/apartment/for-sale/antwerp/2000/11086527,11086527,Antwerp,Belgium,2016.0,2.0,Antwerp,2000,520000,APARTMENT,APARTMENT,2.0,103.0,USA_HYPER_EQUIPPED,0,0,13.0,1,0,0,0,,0,GOOD,A,70.0,GAS,1,1165,51.2267164,4.4058864,,
734,https://www.immoweb.be/en/classified/apartment/for-sale/hasselt/3500/11237301,11237301,Hasselt,Belgium,1976.0,2.0,Limburg,3500,227000,APARTMENT,APARTMENT,2.0,80.0,,0,0,,1,0,0,0,,0,,C,202.0,GAS,1,798,50.9221965,5.3440097,,
735,https://www.immoweb.be/en/classified/apartment/for-sale/bastogne/6600/11225322,11225322,Bastogne,Belgium,2024.0,4.0,Luxembourg,6600,299900,APARTMENT,APARTMENT,2.0,95.0,,0,0,8.0,1,0,0,1,,0,,,,GAS,1,0,,,,
