,locality,construction_year,Number_of_frontages,province,zip_code,price,property_type,subproperty_type,bedroom_count,total_area_m2,equipped_kitchen,furnished,open_fire,terrace_sqm,terrace,garden_sqm,garden,floodZoneType,surface_land,swimming_pool,state_building,epc,primaryEnergyConsumptionPerSqm,heating_Type,Double_Glazing,cadastral_income,latitude,longitude,region,price_square
92,Brugge,2024.0,3.0,West Flanders,8000,399000,1.0,GROUND_FLOOR,2.0,93.0,INSTALLED,0,0,37.0,1,0,0,0,,0,5.0,,,,1,0,51.2230695,3.236746,Flanders,4290.322580645161
93,Nivelles,,,Walloon Brabant,1300,235000,,OFFICES,,89.0,,0,0,0.0,0,0,0,1,0.0,0,5.0,,,,0,0,,,Wallonia,2640.449438202247
94,Bastogne,2024.0,3.0,Luxembourg,6600,265000,1.0,APARTMENT,2.0,95.0,,0,0,9.0,1,0,0,0,,0,5.0,7.0,,GAS,0,0,50.0062282,5.7180337,Wallonia,2789.4736842105262
95,Antwerp,2025.0,,Antwerp,2000,900000,1.0,APARTMENT,4.0,164.0,,0,0,24.0,1,0,0,1,,0,5.0,,,,0,0,51.2334061,4.4084692,Flanders,5487.804878048781
96,Brugge,2024.0,3.0,West Flanders,8000,400000,1.0,APARTMENT,2.0,104.0,INSTALLED,0,0,15.0,1,0,0,0,,0,5.0,,,,1,0,51.2232456,3.2370482,Flanders,3846.153846153846
97,Hasselt,2023.0,2.0,Limburg,3500,208552,1.0,APARTMENT,1.0,55.0,INSTALLED,0,0,4.0,1,0,0,0,,0,,,,,1,0,50.9305047,5.3297261,Flanders,3791.8545454545456
98,Nivelles,,,Walloon Brabant,1300,285000,1.0,APARTMENT,2.0,77.0,,0,0,10.0,1,0,0,1,,0,5.0,,,,0,0,,,Wallonia,3701.2987012987014
99,Bastogne,2024.0,3.0,Luxembourg,6600,267500,1.0,APARTMENT,2.0,85.0,,0,0,23.0,1,0,0,0,,0,5.0,7.0,,GAS,0,0,50.0062282,5.7180337,Wallonia,3147.0588235294117
100,Brugge,2024.0,3.0,West Flanders,8000,400000,1.0,APARTMENT,2.0,105.0,INSTALLED,0,0,20.0,1,0,0,0,,0,5.0,,,,1,0,51.2232578,3.2370722,Flanders,3809.5238095238096
101,Hasselt,2023.0,2.0,Limburg,3500,208709,1.0,APARTMENT,1.0,55.0,INSTALLED,0,0,4.0,1,0,0,0,,0,,,,,1,0,50.9305047,5.3297261,Flanders,3794.7090909090907
102,Nivelles,,,Walloon Brabant,1300,310000,1.0,APARTMENT,2.0,89.0,,0,0,9.0,1,0,0,1,,0,5.0,,,,0,0,,,Wallonia,3483.14606741573
103,Brugge,2024.0,3.0,West Flanders,8000,420000,1.0,APARTMENT,2.0,104.0,INSTALLED,0,0,11.0,1,0,0,0,,0,5.0,,,,1,0,51.2232578,3.2370722,Flanders,4038.4615384615386
104,Hasselt,2023.0,2.0,Limburg,3500,217768,1.0,APARTMENT,1.0,60.0,INSTALLED,0,0,3.0,1,0,0,0,,0,,,,,1,0,50.9305047,5.3297261,Flanders,3629.4666666666667
105,Nivelles,,,Walloon Brabant,1300,310000,1.0,APARTMENT,2.0,90.0,,0,0,9.0,1,0,0,1,,0,5.0,,,,0,0,,,Wallonia,3444.4444444444443
106,Antwerp,2024.0,4.0,Antwerp,2000,301000,1.0,APARTMENT,1.0,51.0,HYPER_EQUIPPED,0,0,8.0,1,0,0,0,,0,5.0,,,GAS,0,0,51.2266199,4.4009373,Flanders,5901.9607843137255
107,Brugge,2024.0,3.0,West Flanders,8000,420000,1.0,APARTMENT,2.0,104.0,INSTALLED,0,0,15.0,1,0,0,0,,0,5.0,,,,1,0,51.2232456,3.2370482,Flanders,4038.4615384615386
108,Hasselt,2023.0,2.0,Limburg,3500,235492,1.0,APARTMENT,1.0,74.0,INSTALLED,0,0,14.0,1,0,0,0,,0,,,,,1,0,50.9307846,5.3299163,Flanders,3182.324324324324
109,Nivelles,,,Walloon Brabant,1300,325000,1.0,APARTMENT,2.0,93.0,,0,0,9.0,1,0,0,1,,0,5.0,,,,0,0,,,Wallonia,3494.6236559139784
110,Antwerp,2024.0,4.0,Antwerp,2000,331000,1.0,APARTMENT,1.0,51.0,HYPER_EQUIPPED,0,0,8.0,1,0,0,0,,0,5.0,,,GAS,0,0,51.2266199,4.4009373,Flanders,6490.196078431372
111,Brugge,2024.0,3.0,West Flanders,8000,430000,1.0,APARTMENT,2.0,98.0,INSTALLED,0,0,39.0,1,0,0,0,,0,5.0,,,,1,0,51.2230695,3.236746,Flanders,4387.755102040816
112,Hasselt,2023.0,2.0,Limburg,3500,243196,1.0,APARTMENT,1.0,60.0,INSTALLED,0,0,13.0,1,0,0,0,,0,,,,,1,0,50.9307846,5.3299163,Flanders,4053.266666666667
113,Nivelles,,,Walloon Brabant,1300,350000,1.0,APARTMENT,3.0,100.0,,0,0,26.0,1,0,0,1,,0,5.0,,,,0,0,,,Wallonia,3500.0
114,Antwerp,2024.0,2.0,Antwerp,2000,585000,1.0,APARTMENT,2.0,96.0,HYPER_EQUIPPED,0,0,11.0,1,0,0,0,,0,5.0,,,GAS,0,0,51.2266199,4.4009373,Flanders,6093.75
115,Brugge,2024.0,3.0,West Flanders,8000,430000,1.0,APARTMENT,2.0,97.0,INSTALLED,0,0,13.0,1,0,0,0,,0,5.0,,,,1,0,51.2232456,3.2370482,Flanders,4432.98969072165
116,Hasselt,2023.0,2.0,Limburg,3500,254763,1.0,APARTMENT,1.0,58.0,INSTALLED,0,0,9.0,1,0,0,0,,0,,,,,1,0,50.9301492,5.3317664,Flanders,4392.4655172413795
117,Antwerp,2024.0,2.0,Antwerp,2000,585000,1.0,APARTMENT,2.0,96.0,HYPER_EQUIPPED,0,0,11.0,1,0,0,0,,0,5.0,,,GAS,0,0,51.2266199,4.4009373,Flanders,6093.75
118,Brugge,2024.0,3.0,West Flanders,8000,455000,1.0,PENTHOUSE,2.0,97.0,INSTALLED,0,0,39.0,1,0,0,0,,0,5.0,,,,1,0,51.2230695,3.236746,Flanders,4690.721649484536
119,Hasselt,2023.0,2.0,Limburg,3500,271662,1.0,APARTMENT,1.0,77.0,INSTALLED,0,0,9.0,1,0,0,0,,0,,,,,1,0,50.9309444,5.3290983,Flanders,3528.0779220779223
120,Brugge,2024.0,3.0,West Flanders,8000,545000,1.0,APARTMENT,3.0,141.0,INSTALLED,0,0,35.0,1,0,0,0,,0,5.0,,,,1,0,51.2232456,3.2370482,Flanders,3865.248226950355
121,Hasselt,2023.0,2.0,Limburg,3500,272346,1.0,APARTMENT,1.0,77.0,INSTALLED,0,0,10.0,1,0,0,0,,0,,,,,1,0,50.9309444,5.3290983,Flanders,3536.961038961039
122,Nivelles,,,Walloon Brabant,1300,262851,1.0,LOFT,0.0,186.0,,0,0,22.0,1,0,0,1,,0,5.0,6.0,110.0,,0,0,50.7237045,4.6092538,Wallonia,1413.1774193548388
